Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
James Harden,HOU,"PG,SG",2458.00,465.00,570.00,52.00,151.00,0.45,0.87,299.00,79.00,2825.00,368.00
Stephen Curry,GSW,"PG,SG",2222.00,424.00,454.00,25.00,117.00,0.47,0.92,402.00,77.00,2607.00,238.00
Giannis Antetokounmpo,MIL,"SF,PF",2176.00,923.00,457.00,118.00,101.00,0.56,0.75,61.00,76.00,2664.00,246.00
Damian Lillard,POR,PG,2147.00,339.00,554.00,29.00,89.00,0.44,0.91,248.00,80.00,2920.00,213.00
Anthony Davis,LAL,"PF,C",2117.00,852.00,230.00,191.00,122.00,0.53,0.81,67.00,74.00,2694.00,164.00
Bradley Beal,WAS,SG,2064.00,403.00,423.00,46.00,113.00,0.47,0.80,213.00,79.00,2859.00,199.00
LeBron James,LAL,"SF,PF",2006.00,635.00,627.00,51.00,98.00,0.54,0.72,145.00,74.00,2648.00,281.00
Karl-Anthony Towns,MIN,C,2003.00,984.00,256.00,126.00,67.00,0.53,0.85,146.00,80.00,2766.00,220.00
Devin Booker,PHO,"PG,SG",1936.00,304.00,411.00,18.00,66.00,0.46,0.86,168.00,73.00,2569.00,264.00
Donovan Mitchell,UTH,"PG,SG",1918.00,334.00,323.00,33.00,119.00,0.44,0.82,201.00,79.00,2708.00,217.00
Kemba Walker,BOS,PG,1864.00,306.00,468.00,29.00,96.00,0.45,0.85,240.00,80.00,2719.00,182.00
Kawhi Leonard,LAC,"SG,SF",1833.00,496.00,251.00,50.00,124.00,0.50,0.87,142.00,70.00,2389.00,140.00
Kyrie Irving,BKN,"PG,SG",1780.00,283.00,468.00,25.00,91.00,0.48,0.88,190.00,73.00,2395.00,185.00
Joel Embiid,PHI,"PF,C",1777.00,867.00,240.00,129.00,46.00,0.49,0.79,81.00,68.00,2187.00,238.00
DeMar DeRozan,SAS,"SG,SF",1760.00,417.00,414.00,29.00,84.00,0.47,0.83,54.00,78.00,2666.00,181.00
CJ McCollum,POR,"PG,SG",1722.00,330.00,264.00,33.00,68.00,0.46,0.85,190.00,78.00,2788.00,133.00
LaMarcus Aldridge,SAS,"PF,C",1684.00,691.00,170.00,96.00,42.00,0.51,0.85,18.00,78.00,2594.00,132.00
Russell Westbrook,HOU,PG,1670.00,676.00,656.00,29.00,133.00,0.45,0.73,125.00,74.00,2627.00,326.00
Jimmy Butler,MIA,"SG,SF",1660.00,433.00,383.00,47.00,139.00,0.46,0.86,117.00,76.00,2635.00,129.00
Paul George,LAC,"SF,PF ",1654.00,507.00,276.00,30.00,130.00,0.45,0.84,243.00,69.00,2493.00,177.00
Jrue Holiday,NOR,"PG,SG",1642.00,371.00,471.00,59.00,117.00,0.48,0.78,143.00,77.00,2690.00,216.00
Luka Doncic,DAL,"PG,SG,PF",1638.00,552.00,475.00,25.00,89.00,0.44,0.76,176.00,76.00,2446.00,250.00
Blake Griffin,DET,"PF,C",1603.00,515.00,367.00,24.00,47.00,0.45,0.77,151.00,69.00,2355.00,202.00
Nikola Jokic,DEN,"PF,C",1599.00,889.00,573.00,61.00,103.00,0.51,0.84,107.00,78.00,2585.00,226.00
Buddy Hield,SAC,SG,1594.00,388.00,201.00,29.00,70.00,0.45,0.88,268.00,80.00,2445.00,142.00
Zach LaVine,CHI,"PG,SG",1593.00,321.00,303.00,23.00,72.00,0.44,0.83,148.00,73.00,2444.00,198.00
Trae Young,ATL,PG,1555.00,289.00,644.00,17.00,73.00,0.43,0.85,166.00,77.00,2379.00,295.00
Julius Randle,NYK,"PF,C",1519.00,652.00,258.00,47.00,49.00,0.52,0.73,55.00,79.00,2279.00,213.00
D'Angelo Russell,GSW,"PG,SG",1517.00,313.00,435.00,21.00,96.00,0.44,0.77,219.00,77.00,2364.00,232.00
Tobias Harris,PHI,"SF,PF",1515.00,583.00,222.00,40.00,65.00,0.47,0.85,161.00,80.00,2737.00,124.00
Khris Middleton,MIL,"SG,SF",1504.00,460.00,333.00,13.00,101.00,0.46,0.86,174.00,78.00,2632.00,176.00
John Collins,ATL,"PF,C",1450.00,744.00,142.00,88.00,45.00,0.57,0.75,55.00,76.00,2308.00,154.00
Mike Conley,UTH,PG,1429.00,251.00,448.00,23.00,93.00,0.45,0.84,163.00,73.00,2341.00,134.00
Nikola Vucevic,ORL,"PF,C",1427.00,846.00,285.00,89.00,75.00,0.50,0.78,79.00,77.00,2361.00,139.00
Lou Williams,LAC,"PG,SG",1426.00,212.00,340.00,11.00,60.00,0.44,0.88,132.00,78.00,2111.00,178.00
Jamal Murray,DEN,"PG,SG",1417.00,331.00,352.00,29.00,72.00,0.44,0.87,161.00,79.00,2551.00,160.00
Zion Williamson,NOR,PF ,1407.00,649.00,219.00,84.00,112.00,0.56,0.70,60.00,74.00,2247.00,156.00
Andre Drummond,DET,"PF,C",1389.00,1237.00,156.00,140.00,128.00,0.57,0.58,4.00,79.00,2681.00,178.00
De'Aaron Fox,SAC,PG,1387.00,295.00,568.00,41.00,114.00,0.44,0.74,96.00,78.00,2538.00,225.00
Collin Sexton,CLE,PG,1382.00,249.00,326.00,14.00,52.00,0.43,0.81,111.00,79.00,2546.00,206.00
Ben Simmons,PHI,"PG,SF",1378.00,679.00,674.00,70.00,122.00,0.54,0.62,11.00,79.00,2699.00,267.00
Deandre Ayton,PHO,C,1377.00,778.00,140.00,105.00,59.00,0.57,0.75,0.00,75.00,2355.00,147.00
Jayson Tatum,BOS,"SF,PF",1376.00,488.00,174.00,61.00,89.00,0.47,0.83,131.00,79.00,2520.00,123.00
Danilo Gallinari,OKC,"SF,PF",1368.00,424.00,160.00,22.00,50.00,0.43,0.90,162.00,70.00,2179.00,106.00
Kyle Kuzma,LAL,"SF,PF ",1361.00,434.00,171.00,32.00,45.00,0.47,0.73,152.00,77.00,2416.00,132.00
Lauri Markkanen,CHI,PF,1352.00,620.00,101.00,46.00,47.00,0.44,0.85,176.00,73.00,2334.00,103.00
Marvin Bagley III,SAC,PF,1340.00,662.00,117.00,83.00,48.00,0.49,0.73,38.00,74.00,2171.00,151.00
Andrew Wiggins,MIN,"SG,SF",1335.00,338.00,172.00,46.00,72.00,0.43,0.71,120.00,76.00,2622.00,145.00
Victor Oladipo,IND,"PG,SG ",1319.00,341.00,323.00,31.00,119.00,0.46,0.79,140.00,62.00,2060.00,159.00
Harrison Barnes,SAC,"SF,PF",1291.00,383.00,125.00,15.00,48.00,0.44,0.83,135.00,77.00,2466.00,101.00
Dennis Smith Jr.,NYK,"PG,SG",1287.00,283.00,375.00,25.00,85.00,0.42,0.68,121.00,78.00,2426.00,222.00
Pascal Siakam,TOR,PF,1286.00,550.00,244.00,54.00,76.00,0.52,0.74,78.00,78.00,2366.00,129.00
