Player,Pos,G,MP,FG,FGA,FG%,3P,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS
Steven Adams,C,58,27.0,4.5,7.6,0.591,0.0,1.9,3.2,0.59,9.4,2.4,0.9,1.1,1.5,10.9
Bam Adebayo,PF,65,34.4,6.3,11.1,0.5670000000000001,0.0,3.6,5.3,0.69,10.5,5.1,1.2,1.3,2.8,16.2
LaMarcus Aldridge,C,53,33.1,7.4,15.0,0.493,1.2,3.0,3.6,0.8270000000000001,7.4,2.4,0.7,1.6,1.4,18.9
Nickeil Alexander-Walker,SG,41,12.2,1.9,5.5,0.33899999999999997,1.0,0.4,0.7,0.607,2.0,1.8,0.3,0.2,1.0,5.1
Grayson Allen,SG,31,16.8,2.6,5.8,0.45,1.1,1.0,1.2,0.833,2.2,1.4,0.3,0.0,0.8,7.3
Jarrett Allen,C,65,25.8,4.2,6.5,0.649,0.0,2.3,3.6,0.62,9.4,1.4,0.6,1.3,1.1,10.7
Kadeem Allen,SG,10,11.7,1.9,4.4,0.43200000000000005,0.5,0.7,1.1,0.636,0.9,2.1,0.5,0.2,0.8,5.0
Al-Farouq Aminu,PF,18,21.1,1.4,4.8,0.29100000000000004,0.5,1.1,1.6,0.655,4.8,1.2,1.0,0.4,0.9,4.3
Justin Anderson,SF,4,6.8,0.3,2.0,0.125,0.0,0.3,0.5,0.5,1.3,1.0,0.0,0.5,0.3,0.8
Kyle Anderson,PF,60,19.3,2.3,4.8,0.488,0.3,0.7,1.1,0.647,4.3,2.2,0.8,0.5,0.9,5.7
Ryan Anderson,PF,2,7.0,1.0,3.5,0.28600000000000003,0.5,0.0,0.0,,3.5,1.0,0.5,0.0,0.5,2.5
Giannis Antetokounmpo,PF,58,30.9,11.0,20.0,0.55,1.4,6.3,10.0,0.632,13.8,5.8,1.0,1.0,3.6,29.8
Kostas Antetokounmpo,PF,3,1.7,0.0,0.0,,0.0,0.0,0.0,,0.3,0.3,0.0,0.0,0.0,0.0
Thanasis Antetokounmpo,SF,18,5.2,1.1,2.0,0.528,0.0,0.4,0.8,0.467,1.1,0.5,0.3,0.1,0.6,2.5
Carmelo Anthony,PF,51,32.5,5.8,13.5,0.43,1.5,2.3,2.7,0.8490000000000001,6.3,1.5,0.8,0.5,1.8,15.4
OG Anunoby,SF,63,30.1,4.2,8.4,0.507,1.3,0.9,1.4,0.6859999999999999,5.4,1.6,1.4,0.7,1.2,10.7
Ryan Arcidiacono,PG,58,16.0,1.6,3.8,0.409,0.9,0.5,0.7,0.711,1.9,1.7,0.5,0.1,0.6,4.5
Trevor Ariza,SF,53,28.2,2.7,6.1,0.43799999999999994,1.5,1.2,1.4,0.838,4.6,1.7,1.3,0.3,1.1,8.0
D.J. Augustin,PG,50,24.8,3.2,8.1,0.397,1.2,2.8,3.1,0.885,2.2,4.5,0.6,0.0,1.4,10.4
Deandre Ayton,C,31,33.3,8.6,15.5,0.555,0.1,1.9,2.5,0.769,12.0,1.9,0.7,1.7,2.3,19.2
Dwayne Bacon,SG,39,17.6,2.2,6.3,0.348,0.5,0.9,1.4,0.66,2.6,1.3,0.6,0.1,0.9,5.7
Marvin Bagley III,PF,13,25.7,6.0,12.8,0.467,0.3,1.9,2.4,0.8059999999999999,7.5,0.8,0.5,0.9,1.4,14.2
Lonzo Ball,PG,57,32.4,4.6,11.2,0.40700000000000003,2.4,0.7,1.2,0.551,6.2,7.0,1.4,0.5,3.1,12.3
