Player,Pos,G,MP,FGM,FGA,FG%,FTM,FTA,FT%,3PT,REB,AST,STL,BLK,TOV,PTS
Giannis Antetokounmpo,"PF, SF",67,33.3,10.7,19.3,0.554,6.7,9.8,0.685,1.2,13,5.4,1.2,1.3,3.6,29.3
Nikola Jokic,C,68,34.1,8.8,17,0.519,4.6,5.5,0.834,1.3,11.2,7.7,1.3,0.8,3.2,23.5
Luka Doncic,PG,66,35.6,9.8,21.1,0.466,7.5,9.7,0.772,3.2,9.5,8.2,1.2,0.3,4.2,30.4
James Harden,"SG, PG",67,34.6,9,20.6,0.439,8.4,9.7,0.868,3.8,6,7.2,1.7,0.8,4.4,30.3
Karl-Anthony Towns,C,67,34.6,9.1,17.6,0.52,5.4,6.5,0.824,2.5,12.1,3.6,0.9,1.5,2.9,26.2
Anthony Davis,"PF, C",61,34.4,9.5,18.4,0.518,6.7,8.1,0.828,1,10.5,3.2,1.5,2.5,2.3,26.7
Damian Lillard,PG,65,36.6,9.7,21.3,0.454,7.1,8,0.892,4,4.3,7.6,1,0.3,2.9,30.5
LeBron James,"SF, PF",63,33.5,9.4,18.5,0.51,4.2,6,0.696,2,7.7,9.2,1.2,0.6,3.7,25
Kevin Durant,"SF, PF",64,33.9,9.1,17.4,0.522,5.5,6.2,0.885,2,6.7,5.5,0.8,1.3,2.8,25.6
Stephen Curry,PG,62,32.9,8.8,18.2,0.482,4.7,5.1,0.92,4.6,5.2,5.7,1.5,0.3,2.9,26.9
Trae Young,PG,64,35.3,9,20.4,0.442,7.8,8.9,0.871,3.3,4.3,9.2,1.1,0.1,4.7,29.1
Ben Simmons,PG,64,35.1,7.3,12.8,0.569,3.5,5.7,0.606,0,8.3,8.6,1.8,0.9,3.5,18
Jayson Tatum,"PF, SF",64,35.5,9.2,20.4,0.453,5.1,6.2,0.819,3.1,7.1,3.7,1.5,1,2.2,26.6
Russell Westbrook,PG,63,33.7,9.6,20.7,0.462,4.6,6.1,0.752,1.1,8.2,8.5,1.6,0.3,4.2,24.8
Joel Embiid,C,62,32.4,8.4,17.6,0.479,7.4,9.2,0.803,1.2,12.6,3.4,0.8,1.9,3.4,25.5
Devin Booker,"SG, PG",66,35.7,9.5,19.8,0.482,7.7,8.7,0.888,2.5,4.2,6.4,0.9,0.3,4,29.3
Bradley Beal,SG,67,34.6,10,21.1,0.474,5.9,7,0.836,2.8,4.2,4.7,1.2,0.4,3.1,28.7
Pascal Siakam,PF,66,35.8,9.2,19.5,0.473,4.8,6.1,0.79,1.9,8.2,3.5,1.1,1,2.4,25.2
Shai Gilgeous-Alexander,"SG, PG",64,37,8.2,17.2,0.476,4.8,5.9,0.813,1.6,6.2,5.7,1.2,0.8,2,22.8
Jimmy Butler,"SF, SG",66,34.4,6.8,14.6,0.467,6.4,7.6,0.847,1.1,6,5.2,1.8,0.5,1.9,21.2
Andre Drummond,C,67,32.4,6.8,12.8,0.532,2.9,5,0.585,0.1,15.1,2.2,1.4,1.6,2.8,16.6
Kyrie Irving,PG,60,32.8,9.2,19,0.485,3.8,4.2,0.893,2.7,4.8,6.4,1.4,0.3,2.5,24.9
Kawhi Leonard,SF,58,33.1,9.3,19.6,0.477,6.1,7,0.874,2,7.4,4.3,1.8,0.5,2.5,26.8
Jrue Holiday,"PG, SG",65,35.5,7.8,16.8,0.466,2.5,3.4,0.742,1.9,4.8,6.8,1.6,0.8,2.9,20
Zion Williamson,PF,61,32.6,10.5,18.1,0.582,6.4,9.4,0.678,0.5,8.7,2.4,1.2,0.9,2.9,28
Paul George,SF,64,33.8,7.9,18.2,0.435,4.8,5.7,0.85,3.4,6.7,3.8,1.8,0.5,2.7,24.1
Brandon Ingram,"SF, PF",65,34.2,8.8,18.6,0.473,6.3,7.5,0.835,2.6,6.1,4.2,0.9,0.7,3,26.4
Deandre Ayton,C,64,32.9,9,15.7,0.576,3.5,4.5,0.767,0,11.4,1.9,0.8,1.3,2.1,21.5
Ja Morant,PG,65,33.7,8.4,17.3,0.488,5.1,6.4,0.793,1.3,4,8.1,1,0.3,3.6,23.2
Nikola Vucevic,C,62,31.7,8.1,16.6,0.489,2,2.6,0.788,1.3,11.2,3.7,0.9,1,1.7,19.6
Bam Adebayo,"C, PF",68,32.1,6.4,11.3,0.569,3.5,4.8,0.729,0,9.8,4,1.1,1.2,2.4,16.4
Donovan Mitchell,SG,68,34,9.4,21.2,0.445,4.7,5.6,0.832,2.7,4.2,4.1,1.2,0.3,2.7,26.3
Tobias Harris,SF,69,34.7,8.7,17.9,0.484,2.7,3.2,0.838,2.4,7,2.9,0.7,0.5,1.6,22.4
DeMar DeRozan,"SG, SF",68,34.4,8.2,16.5,0.498,5.4,6.4,0.836,0.3,5.5,5.7,1,0.3,2.4,22.1
Rudy Gobert,C,64,33.3,5.7,8.4,0.679,3.8,6,0.633,0,13.1,1.7,0.8,2.2,1.8,15.2
D'Angelo Russell,PG,62,33.4,8.8,19.9,0.441,3,3.7,0.824,3.4,4.3,7.1,1.2,0.3,3.5,24
Jamal Murray,"PG, SG",65,34.8,8.8,19.3,0.458,4,4.5,0.882,2.4,4.3,4.9,1.1,0.3,2.3,24.1
Chris Paul,PG,62,32.4,6,13,0.465,3.5,3.9,0.893,1.9,5,7.4,1.7,0.2,2.3,17.5
Khris Middleton,"SF, SG",64,33.1,8.4,17.5,0.48,4.2,4.7,0.888,2.8,6.4,3.7,1.1,0.1,2.3,23.8
Kyle Lowry,PG,65,33.7,5.2,12.4,0.418,3.6,4.2,0.857,2.7,4.8,7.6,1.3,0.4,2.7,16.6
Jusuf Nurkic,C,61,31.4,6.8,13.4,0.506,4,5.4,0.744,0,11.6,3.3,1.1,1.6,2.7,17.6
Fred VanVleet,"SG, PG",65,34.3,6.1,14.8,0.41,3.2,3.8,0.842,2.6,3.6,6.3,1.7,0.3,2.1,17.9
Domantas Sabonis,"PF, C",60,34.7,7.3,13.4,0.544,3.5,4.8,0.722,0.3,12.5,4.8,0.8,0.5,2.8,18.3
T.J. Warren,SF,64,35.1,9.3,18.1,0.514,3.3,4.1,0.8,1.6,4.5,1.6,1.2,0.6,1.3,23.5
Kelly Oubre Jr.,"PF, SF",65,35.4,7.6,17,0.449,4.2,5.4,0.781,2.4,6.5,1.6,1.3,0.8,1.6,21.9
John Collins,"PF, C",62,31.7,7.7,13.5,0.572,3,3.8,0.781,1.1,8.8,1.8,0.6,1.2,1.9,19.5
De'Aaron Fox,PG,63,34.3,7.7,16.1,0.475,5,6.8,0.74,1.2,4.2,7.3,1.6,0.5,3.3,21.5
CJ McCollum,SG,66,35.4,8.5,18.8,0.453,2.2,2.8,0.79,2.6,4,3.7,0.8,0.5,1.8,21.8
Zach LaVine,SG,60,34.6,8.8,19.6,0.451,4.5,5.6,0.807,2.9,4.8,4.3,1.4,0.5,3.4,25
