Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,58,58,27.0,4.5,7.6,.591,0.0,0.1,.333,4.5,7.6,.593,.593,1.9,3.2,.590,3.4,6.0,9.4,2.4,0.9,1.1,1.5,1.9,10.9
2,Bam Adebayo\adebaba01,PF,22,MIA,65,65,34.4,6.3,11.1,.567,0.0,0.2,.077,6.3,10.9,.576,.568,3.6,5.3,.690,2.5,8.0,10.5,5.1,1.2,1.3,2.8,2.5,16.2
3,LaMarcus Aldridge\aldrila01,C,34,SAS,53,53,33.1,7.4,15.0,.493,1.2,3.0,.389,6.2,12.0,.519,.532,3.0,3.6,.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,41,0,12.2,1.9,5.5,.339,1.0,2.9,.342,0.9,2.7,.336,.427,0.4,0.7,.607,0.2,1.8,2.0,1.8,0.3,0.2,1.0,1.1,5.1
5,Grayson Allen\allengr01,SG,24,MEM,31,0,16.8,2.6,5.8,.450,1.1,3.0,.370,1.5,2.8,.534,.544,1.0,1.2,.833,0.2,2.0,2.2,1.4,0.3,0.0,0.8,1.2,7.3
6,Jarrett Allen\allenja01,C,21,BRK,65,59,25.8,4.2,6.5,.649,0.0,0.1,.000,4.2,6.4,.657,.649,2.3,3.6,.620,3.0,6.4,9.4,1.4,0.6,1.3,1.1,2.3,10.7
7,Kadeem Allen\allenka01,SG,27,NYK,10,0,11.7,1.9,4.4,.432,0.5,1.6,.313,1.4,2.8,.500,.489,0.7,1.1,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
9,Justin Anderson\anderju01,SF,26,BRK,4,0,6.8,0.3,2.0,.125,0.0,1.3,.000,0.3,0.8,.333,.125,0.3,0.5,.500,0.3,1.0,1.3,1.0,0.0,0.5,0.3,0.5,0.8
10,Kyle Anderson\anderky01,PF,26,MEM,60,21,19.3,2.3,4.8,.488,0.3,1.1,.262,2.0,3.7,.555,.518,0.7,1.1,.647,0.9,3.4,4.3,2.2,0.8,0.5,0.9,1.5,5.7
11,Ryan Anderson\anderry01,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,58,58,30.9,11.0,20.0,.550,1.4,4.7,.307,9.5,15.3,.625,.586,6.3,10.0,.632,2.3,11.5,13.8,5.8,1.0,1.0,3.6,3.1,29.8
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
